repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ManageIQ/ui-components,dbeb2f7892686b85a8344fc1955c17c34a219403,12cf62f91e3efd47aa398c82941c44ad4505f5fd,master,1513457651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
ManageIQ/ui-components,12cf62f91e3efd47aa398c82941c44ad4505f5fd,0d47d50fb553bc63fe22da931239e394d62553f4,master,1513457551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ManageIQ/ui-components,0d47d50fb553bc63fe22da931239e394d62553f4,9c14e097dcc533fba6dd7eb1fd0096062cedae7e,master,1513457494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
ManageIQ/ui-components,9c14e097dcc533fba6dd7eb1fd0096062cedae7e,7d7ef069c866ab455fe18459d112e19f45091c6a,master,1513009340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,8,0,15,8
ManageIQ/ui-components,7d7ef069c866ab455fe18459d112e19f45091c6a,b50a996db33a655382316402483c1ec449f1562a,master,1513005983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ManageIQ/ui-components,b50a996db33a655382316402483c1ec449f1562a,474b46df1717eb5fee832fcd876ccc9f98c79d83,master,1512485721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,65,40,16,0,108,19
ManageIQ/ui-components,474b46df1717eb5fee832fcd876ccc9f98c79d83,8f109ebfbd86710f850b9dd982d64498e320c863,master,1512452522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,19,1,0,20,1
ManageIQ/ui-components,8f109ebfbd86710f850b9dd982d64498e320c863,ffaacab079d5fde85cbe95a42e799ad4b42e7c33,master,1512452456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,ffaacab079d5fde85cbe95a42e799ad4b42e7c33,a35136b36d9bae8dafb88176739a950be92fab59,master,1512404487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,5,4
ManageIQ/ui-components,a35136b36d9bae8dafb88176739a950be92fab59,5e8e3ab9a7971a7828ca30a58143ad9aaa015830,master,1512396143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
ManageIQ/ui-components,5e8e3ab9a7971a7828ca30a58143ad9aaa015830,acba8c0440712e78eb2925b745acac8443e41ee7,master,1512136137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ManageIQ/ui-components,acba8c0440712e78eb2925b745acac8443e41ee7,08d3c4f3ca96f6004549474e4be8f02a9f4b0619,master,1512062132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,17,2,2,22,6
ManageIQ/ui-components,08d3c4f3ca96f6004549474e4be8f02a9f4b0619,a92f535bb254295e105d3e49f40e8f75cd4198de,master,1511801454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ManageIQ/ui-components,a92f535bb254295e105d3e49f40e8f75cd4198de,19fb99e8a6c56f421870713537746be08dde710a,master,1511445612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
ManageIQ/ui-components,19fb99e8a6c56f421870713537746be08dde710a,3f0287cdfefe62eeb9167fc27e9afea3a6af49af,master,1511445003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,133,0,65,0,134,65
ManageIQ/ui-components,3f0287cdfefe62eeb9167fc27e9afea3a6af49af,64458e4f5f9b0b137efc6e3fefda45a0710144ba,master,1511416591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,16,5
